-8267554.956688665, 1031951.2709878907, -4245947.029284241, -4470330.846833892
8353957.869857702, 6374981.7184768375, -2876005.0804559635, -5400987.672779507
-9221994.82921816, 178451.72964568064, -6284186.859742113, -2070787.0701840743
6767173.279373422, 3710832.1772120316, -5601583.8942268845, -8589628.44068497
-9815751.23107598, 9330761.423531685, 6110827.335429059, -1143482.7088521868
-435171.7611872237, 7787497.331879728, -1583563.8540142458, 3359028.18704156
745010.7699163388, -9976789.863902314, -7799298.204895866, 3353428.805693496
-5840241.808534809, 5104900.153183555, -6098780.546454674, -2572986.6614116644
-4504292.939139322, 8150733.787845124, 119104.45900603198, -4481963.24517318
6863233.969233774, -6236693.271694601, 3922608.077443596, -5939409.531407138
