-4311286.933566483, 3430013.2453643456
673513.9176687747, 4500198.310077103
-6217445.808567672, -7973455.804305005
-7439476.853700111, 4979450.513824295
-1523403.7415590212, -7267321.840684262
8861388.748585813, -1511584.3833223507
-6080243.158503989, -1506078.0166310463
-9717513.457899911, -6012113.352616133
-150416.37559146434, -7302234.270076282
305068.14534587227, 7646010.947740182
5254613.139296452, -5903895.160704049
-9753661.610329192, -4985962.288311423
3784337.7189963087, -9065269.248657938
-1312155.5928194504, -1370318.8741407655
6387912.310992392, -5402196.795241781
-6743139.893709868, -4247161.271002544
-1456756.6380743124, -8637496.005308453
6756807.802375043, 9634330.5446061
867149.1177376192, 4650163.837989541
707132.4835953414, -9628972.378333163
